month,dep_delay,origin
1,2,EWR
1,4,LGA
1,2,JFK
1,-1,JFK
1,-6,LGA
1,-4,EWR
1,-5,EWR
1,-3,LGA
1,-3,JFK
1,-2,LGA
1,-2,JFK
1,-2,JFK
1,-2,JFK
1,-2,EWR
1,-1,LGA
1,0,JFK
1,-1,EWR
1,0,LGA
1,0,LGA
1,1,EWR
1,-8,LGA
1,-3,LGA
1,-4,EWR
1,-4,JFK
1,0,EWR
1,8,EWR
1,11,JFK
1,3,JFK
1,0,JFK
1,0,EWR
1,-8,EWR
1,13,LGA
1,-4,LGA
1,-6,EWR
1,-6,LGA
1,-3,JFK
1,-2,JFK
1,-2,EWR
1,-1,LGA
1,-1,LGA
1,-1,EWR
1,24,EWR
1,0,LGA
1,-8,LGA
1,-1,JFK
1,-3,EWR
1,-2,EWR
1,8,EWR
1,-2,JFK
1,1,LGA
1,1,EWR
1,-4,JFK
1,-3,JFK
1,-7,LGA
1,0,JFK
1,-5,JFK
1,-5,LGA
1,-4,LGA
1,-3,JFK
1,-9,LGA
1,-4,EWR
1,-3,LGA
1,-2,LGA
1,-2,JFK
1,-1,LGA
1,-1,JFK
1,-6,LGA
1,-1,EWR
1,1,EWR
1,2,JFK
1,9,LGA
1,-4,JFK
1,-3,JFK
1,2,EWR
1,-3,LGA
1,-2,JFK
1,-2,EWR
1,-6,LGA
1,-1,EWR
1,-5,EWR
1,-3,EWR
1,-4,LGA
1,-1,JFK
1,-3,JFK
1,3,LGA
1,47,EWR
1,-3,JFK
1,-3,JFK
1,-6,LGA
1,0,EWR
1,-4,LGA
1,13,JFK
1,-6,JFK
1,13,JFK
1,0,JFK
1,0,EWR
1,39,EWR
1,-3,LGA
1,2,LGA
1,-7,LGA
1,-2,LGA
1,-5,LGA
1,-1,LGA
1,-2,EWR
1,-1,JFK
1,0,LGA
1,-10,JFK
1,-4,EWR
1,-7,JFK
1,3,JFK
1,-6,JFK
1,0,JFK
1,5,JFK
1,-10,LGA
1,-3,JFK
1,-6,EWR
1,0,JFK
1,-5,LGA
1,-4,EWR
1,101,LGA
1,-4,EWR
1,-2,EWR
1,-2,LGA
1,4,LGA
1,7,JFK
1,0,JFK
1,-10,JFK
1,0,JFK
1,1,JFK
1,-4,JFK
1,-8,LGA
1,-2,JFK
1,0,EWR
1,-6,LGA
1,-2,JFK
1,71,JFK
1,9,EWR
1,-2,JFK
1,5,EWR
1,-1,JFK
1,-1,EWR
1,0,LGA
1,-5,LGA
1,-4,EWR
1,-8,LGA
1,-2,LGA
1,0,LGA
1,-11,LGA
1,-5,JFK
1,-5,JFK
1,1,EWR
1,853,JFK
1,-3,EWR
1,0,EWR
1,-8,EWR
1,11,EWR
1,-3,EWR
1,8,JFK
1,-4,LGA
1,-4,JFK
1,-4,LGA
1,1,EWR
1,-3,JFK
1,-8,LGA
1,-3,EWR
1,6,EWR
1,-2,LGA
1,-1,LGA
1,-1,JFK
1,0,EWR
1,-1,EWR
1,43,LGA
1,-2,EWR
1,0,JFK
1,23,EWR
1,-2,JFK
1,-7,LGA
1,0,EWR
1,59,JFK
1,12,JFK
1,6,EWR
1,-5,EWR
1,-6,EWR
1,14,EWR
1,-3,LGA
1,2,JFK
1,-3,JFK
1,15,JFK
1,0,LGA
1,21,JFK
1,4,JFK
1,-3,EWR
1,4,JFK
1,-2,EWR
1,-3,LGA
1,0,EWR
1,4,EWR
1,25,EWR
1,1,LGA
1,1,LGA
1,2,JFK
1,-4,JFK
1,29,JFK
1,-2,LGA
1,-4,LGA
1,-9,LGA
1,-3,LGA
1,-3,LGA
1,-5,LGA
1,-15,LGA
1,-4,JFK
1,-13,EWR
1,-6,JFK
1,-4,EWR
1,-6,LGA
1,32,EWR
1,-5,EWR
1,-4,LGA
1,144,EWR
1,-3,LGA
1,-1,LGA
1,-7,EWR
1,4,JFK
1,5,EWR
1,-3,EWR
1,-6,LGA
1,-5,EWR
1,-5,JFK
1,10,LGA
1,-4,JFK
1,-2,LGA
1,-5,EWR
1,-6,LGA
1,5,LGA
1,34,EWR
1,-4,JFK
1,2,LGA
1,-1,JFK
1,-5,EWR
1,1,JFK
1,1,EWR
1,-3,EWR
1,16,EWR
1,7,LGA
1,8,EWR
1,2,JFK
1,-1,EWR
1,-1,EWR
1,3,EWR
1,-8,LGA
1,-3,JFK
1,-2,LGA
1,3,LGA
1,-5,LGA
1,-3,EWR
1,-4,LGA
1,-2,LGA
1,-1,LGA
1,-1,JFK
1,6,EWR
1,18,EWR
1,3,LGA
1,18,EWR
1,-8,LGA
1,-6,LGA
1,-4,JFK
1,12,JFK
1,-2,LGA
1,134,LGA
1,96,EWR
1,-5,LGA
1,13,LGA
1,24,JFK
1,-1,LGA
1,-5,LGA
1,-2,EWR
1,-3,JFK
1,-2,EWR
1,-1,EWR
1,5,LGA
1,-1,LGA
1,-3,LGA
1,4,JFK
1,3,JFK
1,-5,EWR
1,-3,LGA
1,-2,EWR
1,-1,EWR
1,-8,LGA
1,-6,EWR
1,-6,EWR
1,30,JFK
1,-7,JFK
1,-6,EWR
1,-6,LGA
1,-5,JFK
1,-5,LGA
1,-5,LGA
1,-5,JFK
1,-1,EWR
1,-8,LGA
1,-3,EWR
1,-7,LGA
1,-2,EWR
1,-2,LGA
1,0,JFK
1,-5,EWR
1,3,EWR
1,-2,EWR
1,3,JFK
1,4,EWR
1,5,EWR
1,-3,EWR
1,10,JFK
1,-4,EWR
1,-3,EWR
1,-1,EWR
1,-1,LGA
1,-6,LGA
1,0,EWR
1,23,EWR
1,-7,JFK
1,4,EWR
1,-5,EWR
1,-7,LGA
1,2,EWR
1,-8,JFK
1,-2,LGA
1,11,EWR
